bigram,count
mini kelly,1352
birkin kelly,1346
hermes bag,1203
feel like,1180
hermes bags,1151
don think,1126
pre spend,1118
don know,987
quota bag,987
garden party,928
ve seen,919
looks like,874
hermes game,831
don want,805
like hermes,715
years ago,683
hermes kelly,664
chanel hermes,652
gold hardware,652
don like,641
hermes store,629
mini lindy,602
quota bags,592
kelly birkin,519
louis vuitton,501
hermes chanel,495
purchase history,473
dream bag,471
second hand,465
hermes birkin,464
