word,count
s,32192
hermes,27405
bag,26398
t,25886
like,16065
bags,15210
just,13220
m,12544
birkin,12353
kelly,11490
don,10563
love,9380
sa,8694
think,8592
store,7287
want,7153
ve,6932
buy,6728
leather,6720
really,6329
people,6324
know,6180
picotin,5805
time,5189
got,5166
k,5020
chanel,4889
mini,4262
d,4242
good,4145
