brand,neg,neu,pos,neg_pct,pos_pct
Chanel,8793,13932,45492,12.88974888957298,66.68718941026431
Gucci,6109,15202,23104,13.754362265000562,52.01846223122819
Hermes,6901,8784,44087,11.545539717593522,73.75861607441611
