bigram,count
ml ml,111135
ml tester,37280
tester box,32202
box niche,30872
edp ml,19757
ml sample,16726
sample vial,16650
brand new,12301
edt ml,11740
box designer,11588
tom ford,11053
ml box,10968
pour homme,10294
francis kurkdjian,9958
maison francis,9150
ml brand,9113
box cap,8880
cap niche,8751
niche maison,8549
designer chanel,8114
parfum ml,7969
new sealed,6918
niche creed,6579
cap box,6363
tester cap,6097
acqua di,5945
sealed niche,5849
new box,4860
ml presentation,4443
di parma,4342
